,date,title,summary
3065,2017.03.10.,새 反이민 행정명령도 ‘법정 다툼’ 시작,"새 행정명령에선 무슬림 7개국 중 이라크가 제외됐으며, 나머지 6개국 국민이라도 영주권 소지자나 미국 비자 소지자, 이중국적자에 한해선 입국이 가능하다. 이번 반이민 수정 행정명령에 대한 소송은 하와이에서..."
3066,2017.03.10.,트럼프 새 '反이민 명령'마저 줄줄이 법정행,이라크가 규제 대상에서 빠지고 6개국 국민 중 기존 비자 소지자와 영주권자의 입국은 허용하는 등 1차 행정명령을 완화하고 행정적 보완조치를 취하기는 했지만 종교차별 등 위헌 논란이 곧장 제기됐다. 연방법원은...
3067,2017.03.10.,“무슬림 위협 말하는 정치인 지지” 호주민심 극우로,"호주국립대(ANU)의 설문조사에 따르면 지난해 연방총선에서 이민 축소 여론(42%)이 이민 유지 여론(32%)보다 높았고, 이번달 뉴스폴 여론조사에서는 이란, 이라크, 시리아 등 이슬람 7개 국가 출신자 입국을 금지한 트럼프..."
3068,2017.03.10.,한화건설 '이라크 비스마야 프로젝트' 현재 공정률 약 32%… 후공사 '박차',한화건설의 '이라크 비스마야 신도시 프로젝트'가 빠른 공사진행과 높은 주택 품질로 현지에서 큰 호응을 얻고 있다. 10일 한화건설에 따르면 이라크 비스마야 신도시에 대한 현지 입주민들의 만족도가 점점 높아지고...
3069,2017.03.10.,"오바마, 대선 6개월전 인사·정책 물밑 준비···2010년엔 '후보시절 인수 준...",“정권 인수는 이라크 전쟁과 아프가니스탄 전쟁이 계속되고 세계를 강타한 금융위기 속에 이뤄져 대공황 와중에 루스벨트 대통령이 정권을 인수한 이래 75년 만에 가장 힘들고 폭발성을 띠는 작업이 될 것(뉴욕타임스)...
3070,2017.03.10.,美정규군 라카 투입… 트럼프의 IS격퇴전 본격화?,AFP통신에 따르면 미 국방부 관계자와 이라크 현지 관리들은 알바그다디가 이라크 정부군이 모술을 포위하기 훨씬 오래전에 모술을 버리고 잠적한 것으로 보고 있다. 현지 관계자는 통신에 “이라크군이 탈환작전을...
3071,2017.03.10.,유적 부수기만 하더니… IS 땅굴서 고대 유물,"[동아일보] 이라크, 아시리아 유적 발견 이슬람국가(IS)가 이라크 모술 곳곳에 대피용으로 파 놓은 땅굴에서 고대 아시리아 제국 유적이 발견됐다. IS는 우상 숭배를 죄악시하며 점령지마다 고대 문화재를 파괴하기로..."
3072,2017.03.10.,"‘강한 미국’ 외친 트럼프, IS 격퇴 적극 나선다",대신 오바마 대통령은 이라크에 미 군사 고문단 등을 파견하는 간접적인 격퇴 방식을 선호해왔다. 그러나 트럼프 대통령은 이같은 대응 방식을 정면으로 뒤집고 있다. 미 지상군의 직접 투입 등 적극적인 군사작전으로...
3073,2017.03.10.,“트럼프의 새 행정명령도 법적 결함”…줄소송 브레이크,"기존 무슬림 7개국(이란, 이라크, 리비아, 소말리아, 수단, 시리아, 예멘)의 미 입국 금지 조항을 이라크를 제외한 6개국으로 축소, 수정했다. ▶인기 무료 만화 ▶나만의 변호사 찾기"
3074,2017.03.10.,"‘봄’을 맞은 늦깎이 작가 3인, 오랜 습작을 펼쳐놓다","고국 이라크의 현실을 알리기 위해 강력한 우승 후보이면서도 다른 선수들이 결승선을 통과할 때 출발한 모하메드 압둘(‘그들의 올림픽’), 사랑하는 여인을 지키기 위해 전자발찌를 드러내 보여야 했던 남자(‘의심’..."
3075,2017.03.10.,새 反이민 행정명령도 ‘법정 다툼’ 시작,"새 행정명령에선 무슬림 7개국 중 이라크가 제외됐으며, 나머지 6개국 국민이라도 영주권 소지자나 미국 비자 소지자, 이중국적자에 한해선 입국이 가능하다. 이번 반이민 수정 행정명령에 대한 소송은 하와이에서..."
3076,2017.03.10.,트럼프 새 '反이민 명령'마저 줄줄이 법정행,이라크가 규제 대상에서 빠지고 6개국 국민 중 기존 비자 소지자와 영주권자의 입국은 허용하는 등 1차 행정명령을 완화하고 행정적 보완조치를 취하기는 했지만 종교차별 등 위헌 논란이 곧장 제기됐다. 연방법원은...
3077,2017.03.10.,“무슬림 위협 말하는 정치인 지지” 호주민심 극우로,"호주국립대(ANU)의 설문조사에 따르면 지난해 연방총선에서 이민 축소 여론(42%)이 이민 유지 여론(32%)보다 높았고, 이번달 뉴스폴 여론조사에서는 이란, 이라크, 시리아 등 이슬람 7개 국가 출신자 입국을 금지한 트럼프..."
3078,2017.03.10.,한화건설 '이라크 비스마야 프로젝트' 현재 공정률 약 32%… 후공사 '박차',한화건설의 '이라크 비스마야 신도시 프로젝트'가 빠른 공사진행과 높은 주택 품질로 현지에서 큰 호응을 얻고 있다. 10일 한화건설에 따르면 이라크 비스마야 신도시에 대한 현지 입주민들의 만족도가 점점 높아지고...
3079,2017.03.10.,"오바마, 대선 6개월전 인사·정책 물밑 준비···2010년엔 '후보시절 인수 준...",“정권 인수는 이라크 전쟁과 아프가니스탄 전쟁이 계속되고 세계를 강타한 금융위기 속에 이뤄져 대공황 와중에 루스벨트 대통령이 정권을 인수한 이래 75년 만에 가장 힘들고 폭발성을 띠는 작업이 될 것(뉴욕타임스)...
3080,2017.03.10.,美정규군 라카 투입… 트럼프의 IS격퇴전 본격화?,AFP통신에 따르면 미 국방부 관계자와 이라크 현지 관리들은 알바그다디가 이라크 정부군이 모술을 포위하기 훨씬 오래전에 모술을 버리고 잠적한 것으로 보고 있다. 현지 관계자는 통신에 “이라크군이 탈환작전을...
3081,2017.03.10.,유적 부수기만 하더니… IS 땅굴서 고대 유물,"[동아일보] 이라크, 아시리아 유적 발견 이슬람국가(IS)가 이라크 모술 곳곳에 대피용으로 파 놓은 땅굴에서 고대 아시리아 제국 유적이 발견됐다. IS는 우상 숭배를 죄악시하며 점령지마다 고대 문화재를 파괴하기로..."
3082,2017.03.10.,"‘강한 미국’ 외친 트럼프, IS 격퇴 적극 나선다",대신 오바마 대통령은 이라크에 미 군사 고문단 등을 파견하는 간접적인 격퇴 방식을 선호해왔다. 그러나 트럼프 대통령은 이같은 대응 방식을 정면으로 뒤집고 있다. 미 지상군의 직접 투입 등 적극적인 군사작전으로...
3083,2017.03.10.,“트럼프의 새 행정명령도 법적 결함”…줄소송 브레이크,"기존 무슬림 7개국(이란, 이라크, 리비아, 소말리아, 수단, 시리아, 예멘)의 미 입국 금지 조항을 이라크를 제외한 6개국으로 축소, 수정했다. ▶인기 무료 만화 ▶나만의 변호사 찾기"
3084,2017.03.10.,"‘봄’을 맞은 늦깎이 작가 3인, 오랜 습작을 펼쳐놓다","고국 이라크의 현실을 알리기 위해 강력한 우승 후보이면서도 다른 선수들이 결승선을 통과할 때 출발한 모하메드 압둘(‘그들의 올림픽’), 사랑하는 여인을 지키기 위해 전자발찌를 드러내 보여야 했던 남자(‘의심’..."
3085,2017.03.10.,새 反이민 행정명령도 ‘법정 다툼’ 시작,"새 행정명령에선 무슬림 7개국 중 이라크가 제외됐으며, 나머지 6개국 국민이라도 영주권 소지자나 미국 비자 소지자, 이중국적자에 한해선 입국이 가능하다. 이번 반이민 수정 행정명령에 대한 소송은 하와이에서..."
3086,2017.03.10.,트럼프 새 '反이민 명령'마저 줄줄이 법정행,이라크가 규제 대상에서 빠지고 6개국 국민 중 기존 비자 소지자와 영주권자의 입국은 허용하는 등 1차 행정명령을 완화하고 행정적 보완조치를 취하기는 했지만 종교차별 등 위헌 논란이 곧장 제기됐다. 연방법원은...
3087,2017.03.10.,“무슬림 위협 말하는 정치인 지지” 호주민심 극우로,"호주국립대(ANU)의 설문조사에 따르면 지난해 연방총선에서 이민 축소 여론(42%)이 이민 유지 여론(32%)보다 높았고, 이번달 뉴스폴 여론조사에서는 이란, 이라크, 시리아 등 이슬람 7개 국가 출신자 입국을 금지한 트럼프..."
3088,2017.03.10.,한화건설 '이라크 비스마야 프로젝트' 현재 공정률 약 32%… 후공사 '박차',한화건설의 '이라크 비스마야 신도시 프로젝트'가 빠른 공사진행과 높은 주택 품질로 현지에서 큰 호응을 얻고 있다. 10일 한화건설에 따르면 이라크 비스마야 신도시에 대한 현지 입주민들의 만족도가 점점 높아지고...
3089,2017.03.10.,"오바마, 대선 6개월전 인사·정책 물밑 준비···2010년엔 '후보시절 인수 준...",“정권 인수는 이라크 전쟁과 아프가니스탄 전쟁이 계속되고 세계를 강타한 금융위기 속에 이뤄져 대공황 와중에 루스벨트 대통령이 정권을 인수한 이래 75년 만에 가장 힘들고 폭발성을 띠는 작업이 될 것(뉴욕타임스)...
3090,2017.03.10.,美정규군 라카 투입… 트럼프의 IS격퇴전 본격화?,AFP통신에 따르면 미 국방부 관계자와 이라크 현지 관리들은 알바그다디가 이라크 정부군이 모술을 포위하기 훨씬 오래전에 모술을 버리고 잠적한 것으로 보고 있다. 현지 관계자는 통신에 “이라크군이 탈환작전을...
3091,2017.03.10.,유적 부수기만 하더니… IS 땅굴서 고대 유물,"[동아일보] 이라크, 아시리아 유적 발견 이슬람국가(IS)가 이라크 모술 곳곳에 대피용으로 파 놓은 땅굴에서 고대 아시리아 제국 유적이 발견됐다. IS는 우상 숭배를 죄악시하며 점령지마다 고대 문화재를 파괴하기로..."
3092,2017.03.10.,"‘강한 미국’ 외친 트럼프, IS 격퇴 적극 나선다",대신 오바마 대통령은 이라크에 미 군사 고문단 등을 파견하는 간접적인 격퇴 방식을 선호해왔다. 그러나 트럼프 대통령은 이같은 대응 방식을 정면으로 뒤집고 있다. 미 지상군의 직접 투입 등 적극적인 군사작전으로...
3093,2017.03.10.,“트럼프의 새 행정명령도 법적 결함”…줄소송 브레이크,"기존 무슬림 7개국(이란, 이라크, 리비아, 소말리아, 수단, 시리아, 예멘)의 미 입국 금지 조항을 이라크를 제외한 6개국으로 축소, 수정했다. ▶인기 무료 만화 ▶나만의 변호사 찾기"
3094,2017.03.10.,"‘봄’을 맞은 늦깎이 작가 3인, 오랜 습작을 펼쳐놓다","고국 이라크의 현실을 알리기 위해 강력한 우승 후보이면서도 다른 선수들이 결승선을 통과할 때 출발한 모하메드 압둘(‘그들의 올림픽’), 사랑하는 여인을 지키기 위해 전자발찌를 드러내 보여야 했던 남자(‘의심’..."
3095,2017.03.10.,새 反이민 행정명령도 ‘법정 다툼’ 시작,"새 행정명령에선 무슬림 7개국 중 이라크가 제외됐으며, 나머지 6개국 국민이라도 영주권 소지자나 미국 비자 소지자, 이중국적자에 한해선 입국이 가능하다. 이번 반이민 수정 행정명령에 대한 소송은 하와이에서..."
3096,2017.03.10.,트럼프 새 '反이민 명령'마저 줄줄이 법정행,이라크가 규제 대상에서 빠지고 6개국 국민 중 기존 비자 소지자와 영주권자의 입국은 허용하는 등 1차 행정명령을 완화하고 행정적 보완조치를 취하기는 했지만 종교차별 등 위헌 논란이 곧장 제기됐다. 연방법원은...
3097,2017.03.10.,“무슬림 위협 말하는 정치인 지지” 호주민심 극우로,"호주국립대(ANU)의 설문조사에 따르면 지난해 연방총선에서 이민 축소 여론(42%)이 이민 유지 여론(32%)보다 높았고, 이번달 뉴스폴 여론조사에서는 이란, 이라크, 시리아 등 이슬람 7개 국가 출신자 입국을 금지한 트럼프..."
3098,2017.03.10.,한화건설 '이라크 비스마야 프로젝트' 현재 공정률 약 32%… 후공사 '박차',한화건설의 '이라크 비스마야 신도시 프로젝트'가 빠른 공사진행과 높은 주택 품질로 현지에서 큰 호응을 얻고 있다. 10일 한화건설에 따르면 이라크 비스마야 신도시에 대한 현지 입주민들의 만족도가 점점 높아지고...
3099,2017.03.10.,"오바마, 대선 6개월전 인사·정책 물밑 준비···2010년엔 '후보시절 인수 준...",“정권 인수는 이라크 전쟁과 아프가니스탄 전쟁이 계속되고 세계를 강타한 금융위기 속에 이뤄져 대공황 와중에 루스벨트 대통령이 정권을 인수한 이래 75년 만에 가장 힘들고 폭발성을 띠는 작업이 될 것(뉴욕타임스)...
3100,2017.03.10.,美정규군 라카 투입… 트럼프의 IS격퇴전 본격화?,AFP통신에 따르면 미 국방부 관계자와 이라크 현지 관리들은 알바그다디가 이라크 정부군이 모술을 포위하기 훨씬 오래전에 모술을 버리고 잠적한 것으로 보고 있다. 현지 관계자는 통신에 “이라크군이 탈환작전을...
3101,2017.03.10.,유적 부수기만 하더니… IS 땅굴서 고대 유물,"[동아일보] 이라크, 아시리아 유적 발견 이슬람국가(IS)가 이라크 모술 곳곳에 대피용으로 파 놓은 땅굴에서 고대 아시리아 제국 유적이 발견됐다. IS는 우상 숭배를 죄악시하며 점령지마다 고대 문화재를 파괴하기로..."
