,date,title,summary
3519,2020.08.17.,WTO 사무총장 출마 유명희…후보 자격 평가서 톱3에 꼽혀,항목을 제외한 나머지 5가지 항목에서 요건을 갖춘 것으로 평가됐다. 톱3에 이어 나이지리아의 오콘조-이웰라 전 외무·재무장관이 ‘WTO 협상 경험’과 ‘법학 지식’을 제외한 4가지 항목에서 요건을 갖췄다. 세종
3520,2020.08.10.,"빗소리 닮은 스윙, 들어보실래요?","""둥두루두루루둥/따라란딴따라라란""으로 경쾌하게 시작하는 '스냅', ""빰빠빠바바밤"" 살사 리듬으로 우릴 순식간에 쿠바로 이동시키는 '하바나', 재즈의 고향 뉴올리언스를 떠올리게 하는 '나이지리아' 등 다채로운 곡들이..."
3521,2020.08.11.,`드릴십` 애물단지 전락에… 삼성重만 반등 못해,"삼성중공업 역시 러시아, 모잠비크, 나이지리아로부터 대형 프로젝트의 사업자 선정을 앞두고 있지만 마냥 웃을 수 없는 처지다. 이 같은 수주 단비에도 '만년 적자' 신세에서 벗어나기가 녹록지 않기 때문이다...."
3522,2020.08.12.,'2020 국제청소년 창업월드컵'서 용인외고 3위 차지,"올해 대회에서는 베트남팀이 지난해에 이어 2년 연속 1등을 차지했으며, 2위는 나이지리아 대표팀이 선정됐다. 한국대표팀으로 출전했던 빅데이터팀은 3위를 차지했다. 이 팀은 조준현(용인외고 3학년 재학)을..."
3523,2020.08.13.,"반기문 “코로나, 세계 평화도 위협”","그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 “코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 볼 것”..."
3524,2020.08.13.,"""코로나, 전례없는 혼란… 세계 평화도 위협""",그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했다고 지적했다. 그러면서 분쟁지역 국가들이 코로나19로 인한 피해를 더...
3525,2020.08.13.,"반기문 ""코로나 틈타 테러 자행...분쟁국서 피해 더 클것""",반 전 총장은 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등 코로나19 사태를 틈타 일부 집단이 테러 행위를 가속화했다며 “분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 보게 될 것”이라고...
3526,2020.08.13.,"반기문 “코로나19, 세계평화도 위협”","나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 더 큰 피해를 보게 될 것이라고 전망했다. 국제유가..."
3527,2020.08.13.,반기문 “코로나19 사태로 세계 평화 위협”,나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 조직 등이 코로나19 사태로 어수선한 상황을 틈타 테러 행위를 가속화했다는 것이다. 반 전 총장은 국제유가 하락으로 국가 재정에 타격을 받은 이라크를 예로...
3528,2020.08.16.,"유명희 본부장, 獨 싱크탱크가 뽑은 'WTO 사무총장 후보 톱3'","WTO 후보 선출 초반에는 나이지리아 응고지 오콘조이 웰라 후보도 아프리카, 여성 후보라는 측면에서 주목을 받았으나 이번 GED 톱3에서는 빠졌다. 응고지 후보는 WTO 협상 경험과 법학적 지식을 제외한 4개 요건을..."
3529,2020.08.17.,WTO 사무총장 출마 유명희…후보 자격 평가서 톱3에 꼽혀,항목을 제외한 나머지 5가지 항목에서 요건을 갖춘 것으로 평가됐다. 톱3에 이어 나이지리아의 오콘조-이웰라 전 외무·재무장관이 ‘WTO 협상 경험’과 ‘법학 지식’을 제외한 4가지 항목에서 요건을 갖췄다. 세종
3530,2020.08.10.,"빗소리 닮은 스윙, 들어보실래요?","""둥두루두루루둥/따라란딴따라라란""으로 경쾌하게 시작하는 '스냅', ""빰빠빠바바밤"" 살사 리듬으로 우릴 순식간에 쿠바로 이동시키는 '하바나', 재즈의 고향 뉴올리언스를 떠올리게 하는 '나이지리아' 등 다채로운 곡들이..."
3531,2020.08.11.,`드릴십` 애물단지 전락에… 삼성重만 반등 못해,"삼성중공업 역시 러시아, 모잠비크, 나이지리아로부터 대형 프로젝트의 사업자 선정을 앞두고 있지만 마냥 웃을 수 없는 처지다. 이 같은 수주 단비에도 '만년 적자' 신세에서 벗어나기가 녹록지 않기 때문이다...."
3532,2020.08.12.,'2020 국제청소년 창업월드컵'서 용인외고 3위 차지,"올해 대회에서는 베트남팀이 지난해에 이어 2년 연속 1등을 차지했으며, 2위는 나이지리아 대표팀이 선정됐다. 한국대표팀으로 출전했던 빅데이터팀은 3위를 차지했다. 이 팀은 조준현(용인외고 3학년 재학)을..."
3533,2020.08.13.,"반기문 “코로나, 세계 평화도 위협”","그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 “코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 볼 것”..."
3534,2020.08.13.,"""코로나, 전례없는 혼란… 세계 평화도 위협""",그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했다고 지적했다. 그러면서 분쟁지역 국가들이 코로나19로 인한 피해를 더...
3535,2020.08.13.,"반기문 ""코로나 틈타 테러 자행...분쟁국서 피해 더 클것""",반 전 총장은 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등 코로나19 사태를 틈타 일부 집단이 테러 행위를 가속화했다며 “분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 보게 될 것”이라고...
3536,2020.08.13.,"반기문 “코로나19, 세계평화도 위협”","나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 더 큰 피해를 보게 될 것이라고 전망했다. 국제유가..."
3537,2020.08.13.,반기문 “코로나19 사태로 세계 평화 위협”,나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 조직 등이 코로나19 사태로 어수선한 상황을 틈타 테러 행위를 가속화했다는 것이다. 반 전 총장은 국제유가 하락으로 국가 재정에 타격을 받은 이라크를 예로...
3538,2020.08.16.,"유명희 본부장, 獨 싱크탱크가 뽑은 'WTO 사무총장 후보 톱3'","WTO 후보 선출 초반에는 나이지리아 응고지 오콘조이 웰라 후보도 아프리카, 여성 후보라는 측면에서 주목을 받았으나 이번 GED 톱3에서는 빠졌다. 응고지 후보는 WTO 협상 경험과 법학적 지식을 제외한 4개 요건을..."
3539,2020.08.17.,WTO 사무총장 출마 유명희…후보 자격 평가서 톱3에 꼽혀,항목을 제외한 나머지 5가지 항목에서 요건을 갖춘 것으로 평가됐다. 톱3에 이어 나이지리아의 오콘조-이웰라 전 외무·재무장관이 ‘WTO 협상 경험’과 ‘법학 지식’을 제외한 4가지 항목에서 요건을 갖췄다. 세종
3540,2020.08.10.,"빗소리 닮은 스윙, 들어보실래요?","""둥두루두루루둥/따라란딴따라라란""으로 경쾌하게 시작하는 '스냅', ""빰빠빠바바밤"" 살사 리듬으로 우릴 순식간에 쿠바로 이동시키는 '하바나', 재즈의 고향 뉴올리언스를 떠올리게 하는 '나이지리아' 등 다채로운 곡들이..."
3541,2020.08.11.,`드릴십` 애물단지 전락에… 삼성重만 반등 못해,"삼성중공업 역시 러시아, 모잠비크, 나이지리아로부터 대형 프로젝트의 사업자 선정을 앞두고 있지만 마냥 웃을 수 없는 처지다. 이 같은 수주 단비에도 '만년 적자' 신세에서 벗어나기가 녹록지 않기 때문이다...."
3542,2020.08.12.,'2020 국제청소년 창업월드컵'서 용인외고 3위 차지,"올해 대회에서는 베트남팀이 지난해에 이어 2년 연속 1등을 차지했으며, 2위는 나이지리아 대표팀이 선정됐다. 한국대표팀으로 출전했던 빅데이터팀은 3위를 차지했다. 이 팀은 조준현(용인외고 3학년 재학)을..."
3543,2020.08.13.,"반기문 “코로나, 세계 평화도 위협”","그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 “코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 볼 것”..."
3544,2020.08.13.,"""코로나, 전례없는 혼란… 세계 평화도 위협""",그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했다고 지적했다. 그러면서 분쟁지역 국가들이 코로나19로 인한 피해를 더...
3545,2020.08.13.,"반기문 ""코로나 틈타 테러 자행...분쟁국서 피해 더 클것""",반 전 총장은 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등 코로나19 사태를 틈타 일부 집단이 테러 행위를 가속화했다며 “분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 보게 될 것”이라고...
3546,2020.08.13.,"반기문 “코로나19, 세계평화도 위협”","나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 더 큰 피해를 보게 될 것이라고 전망했다. 국제유가..."
3547,2020.08.13.,반기문 “코로나19 사태로 세계 평화 위협”,나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 조직 등이 코로나19 사태로 어수선한 상황을 틈타 테러 행위를 가속화했다는 것이다. 반 전 총장은 국제유가 하락으로 국가 재정에 타격을 받은 이라크를 예로...
3548,2020.08.16.,"유명희 본부장, 獨 싱크탱크가 뽑은 'WTO 사무총장 후보 톱3'","WTO 후보 선출 초반에는 나이지리아 응고지 오콘조이 웰라 후보도 아프리카, 여성 후보라는 측면에서 주목을 받았으나 이번 GED 톱3에서는 빠졌다. 응고지 후보는 WTO 협상 경험과 법학적 지식을 제외한 4개 요건을..."
3549,2020.08.17.,WTO 사무총장 출마 유명희…후보 자격 평가서 톱3에 꼽혀,항목을 제외한 나머지 5가지 항목에서 요건을 갖춘 것으로 평가됐다. 톱3에 이어 나이지리아의 오콘조-이웰라 전 외무·재무장관이 ‘WTO 협상 경험’과 ‘법학 지식’을 제외한 4가지 항목에서 요건을 갖췄다. 세종
3550,2020.08.10.,"빗소리 닮은 스윙, 들어보실래요?","""둥두루두루루둥/따라란딴따라라란""으로 경쾌하게 시작하는 '스냅', ""빰빠빠바바밤"" 살사 리듬으로 우릴 순식간에 쿠바로 이동시키는 '하바나', 재즈의 고향 뉴올리언스를 떠올리게 하는 '나이지리아' 등 다채로운 곡들이..."
3551,2020.08.11.,`드릴십` 애물단지 전락에… 삼성重만 반등 못해,"삼성중공업 역시 러시아, 모잠비크, 나이지리아로부터 대형 프로젝트의 사업자 선정을 앞두고 있지만 마냥 웃을 수 없는 처지다. 이 같은 수주 단비에도 '만년 적자' 신세에서 벗어나기가 녹록지 않기 때문이다...."
3552,2020.08.12.,'2020 국제청소년 창업월드컵'서 용인외고 3위 차지,"올해 대회에서는 베트남팀이 지난해에 이어 2년 연속 1등을 차지했으며, 2위는 나이지리아 대표팀이 선정됐다. 한국대표팀으로 출전했던 빅데이터팀은 3위를 차지했다. 이 팀은 조준현(용인외고 3학년 재학)을..."
3553,2020.08.13.,"반기문 “코로나, 세계 평화도 위협”","그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 “코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 볼 것”..."
3554,2020.08.13.,"""코로나, 전례없는 혼란… 세계 평화도 위협""",그는 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했다고 지적했다. 그러면서 분쟁지역 국가들이 코로나19로 인한 피해를 더...
3555,2020.08.13.,"반기문 ""코로나 틈타 테러 자행...분쟁국서 피해 더 클것""",반 전 총장은 나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등 코로나19 사태를 틈타 일부 집단이 테러 행위를 가속화했다며 “분쟁지역 국가들이 코로나19로 인한 피해를 더 많이 보게 될 것”이라고...
3556,2020.08.13.,"반기문 “코로나19, 세계평화도 위협”","나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 카르텔 등을 예로 들면서 코로나19 사태를 틈타 일부 집단들이 테러 행위를 가속화했으며, 분쟁지역 국가들이 더 큰 피해를 보게 될 것이라고 전망했다. 국제유가..."
3557,2020.08.13.,반기문 “코로나19 사태로 세계 평화 위협”,나이지리아의 이슬람 무장단체 보코하람과 멕시코 마약 조직 등이 코로나19 사태로 어수선한 상황을 틈타 테러 행위를 가속화했다는 것이다. 반 전 총장은 국제유가 하락으로 국가 재정에 타격을 받은 이라크를 예로...
